time,.accel_opening,.max_velocity,.steer_angle,.vehicle_velocity,.direction_switch,.light_signal,.left_winker,.right_winker,.hone_signal
2019/04/05/16:38:49.676545,0,2.07999992371,-0.4,0.0,1,0,0,0,0
2019/04/05/16:38:49.686758,0,2.07999992371,-0.4,0.0,1,0,0,0,0
2019/04/05/16:38:49.696689,0,2.07999992371,-0.4,0.0,1,0,0,0,0
2019/04/05/16:38:49.706708,0,2.07999992371,-0.4,0.0,1,0,0,0,0
2019/04/05/16:38:49.716707,0,2.07999992371,-0.4,0.0,1,0,0,0,0
2019/04/05/16:38:49.726752,0,2.07999992371,-2.6645352591e-15,0.0,1,0,0,0,0
2019/04/05/16:38:49.736693,0,2.07999992371,-2.6645352591e-15,0.0,1,0,0,0,0
2019/04/05/16:38:49.746695,0,2.07999992371,-2.6645352591e-15,0.0,1,0,0,0,0
2019/04/05/16:38:49.756759,0,2.07999992371,-0.2,0.0,1,0,0,0,0
2019/04/05/16:38:49.766702,0,2.07999992371,-0.2,0.0,1,0,0,0,0
2019/04/05/16:38:49.776739,0,2.07999992371,-0.4,0.0,1,0,0,0,0
2019/04/05/16:38:49.786748,0,2.07999992371,-0.4,0.0,1,0,0,0,0
2019/04/05/16:38:49.796730,0,2.07999992371,-2.6645352591e-15,0.0,1,0,0,0,0
2019/04/05/16:38:49.806698,0,2.07999992371,-0.5,0.0,1,0,0,0,0
2019/04/05/16:38:49.816745,0,2.07999992371,-0.5,0.0,1,0,0,0,0
2019/04/05/16:38:49.826684,0,2.07999992371,-0.5,0.0,1,0,0,0,0
2019/04/05/16:38:49.836732,0,2.07999992371,-0.5,0.0,1,0,0,0,0
2019/04/05/16:38:49.846664,0,2.07999992371,-0.2,0.0,1,0,0,0,0
2019/04/05/16:38:49.856729,0,2.07999992371,-0.5,0.0,1,0,0,0,0
2019/04/05/16:38:49.866704,0,2.07999992371,-0.5,0.0,1,0,0,0,0
2019/04/05/16:38:49.876753,0,2.07999992371,-0.2,0.0,1,0,0,0,0
2019/04/05/16:38:49.886590,0,2.07999992371,-0.2,0.0,1,0,0,0,0
2019/04/05/16:38:49.896682,0,2.07999992371,-0.2,0.0,1,0,0,0,0
2019/04/05/16:38:49.906735,0,2.07999992371,-0.2,0.0,1,0,0,0,0
2019/04/05/16:38:49.916689,0,2.07999992371,-0.2,0.0,1,0,0,0,0
2019/04/05/16:38:49.926707,0,2.07999992371,-0.5,0.0,1,0,0,0,0
2019/04/05/16:38:49.936751,0,2.07999992371,-0.2,0.0,1,0,0,0,0
2019/04/05/16:38:49.946676,0,2.07999992371,-0.2,0.0,1,0,0,0,0
2019/04/05/16:38:49.956736,0,2.07999992371,-0.5,0.0,1,0,0,0,0
2019/04/05/16:38:49.966679,0,2.07999992371,-2.6645352591e-15,0.0,1,0,0,0,0
2019/04/05/16:38:49.976738,0,2.07999992371,-2.6645352591e-15,0.0,1,0,0,0,0
2019/04/05/16:38:49.986727,0,2.07999992371,-2.6645352591e-15,0.0,1,0,0,0,0
2019/04/05/16:38:49.996752,0,2.07999992371,-2.6645352591e-15,0.0,1,0,0,0,0
2019/04/05/16:38:50.006743,0,2.07999992371,-0.4,0.0,1,0,0,0,0
2019/04/05/16:38:50.016729,0,2.07999992371,-2.6645352591e-15,0.0,1,0,0,0,0
2019/04/05/16:38:50.026685,0,2.07999992371,-2.6645352591e-15,0.0,1,0,0,0,0
2019/04/05/16:38:50.036729,0,2.07999992371,-0.2,0.0,1,0,0,0,0
2019/04/05/16:38:50.046651,0,2.07999992371,-0.2,0.0,1,0,0,0,0
2019/04/05/16:38:50.056745,0,2.07999992371,-0.2,0.0,1,0,0,0,0
2019/04/05/16:38:50.066620,0,2.07999992371,-2.6645352591e-15,0.0,1,0,0,0,0
2019/04/05/16:38:50.076699,0,2.07999992371,-2.6645352591e-15,0.0,1,0,0,0,0
2019/04/05/16:38:50.086715,0,2.07999992371,-0.2,0.0,1,0,0,0,0
2019/04/05/16:38:50.096699,0,2.07999992371,-0.2,0.0,1,0,0,0,0
2019/04/05/16:38:50.106717,0,2.07999992371,-0.2,0.0,1,0,0,0,0
2019/04/05/16:38:50.116705,0,2.07999992371,-2.6645352591e-15,0.0,1,0,0,0,0
2019/04/05/16:38:50.126675,0,2.07999992371,-0.4,0.0,1,0,0,0,0
2019/04/05/16:38:50.136713,0,2.07999992371,-0.4,0.0,1,0,0,0,0
2019/04/05/16:38:50.146737,0,2.07999992371,-0.5,0.0,1,0,0,0,0
2019/04/05/16:38:50.156678,0,2.07999992371,-0.5,0.0,1,0,0,0,0
2019/04/05/16:38:50.166697,0,2.07999992371,-0.4,0.0,1,0,0,0,0
2019/04/05/16:38:50.176743,0,2.07999992371,-0.4,0.0,1,0,0,0,0
2019/04/05/16:38:50.186746,0,2.07999992371,-0.4,0.0,1,0,0,0,0
2019/04/05/16:38:50.196635,0,2.07999992371,-0.2,0.0,1,0,0,0,0
2019/04/05/16:38:50.206735,0,2.07999992371,-0.2,0.0,1,0,0,0,0
2019/04/05/16:38:50.216728,0,2.07999992371,-0.2,0.0,1,0,0,0,0
2019/04/05/16:38:50.226769,0,2.07999992371,-0.2,0.0,1,0,0,0,0
2019/04/05/16:38:50.236672,0,2.07999992371,-0.2,0.0,1,0,0,0,0
2019/04/05/16:38:50.246730,0,2.07999992371,-0.5,0.0,1,0,0,0,0
2019/04/05/16:38:50.256725,0,2.07999992371,-0.5,0.0,1,0,0,0,0
2019/04/05/16:38:50.266695,0,2.07999992371,-0.5,0.0,1,0,0,0,0
2019/04/05/16:38:50.276731,0,2.07999992371,-0.2,0.0,1,0,0,0,0
2019/04/05/16:38:50.286678,0,2.07999992371,-0.2,0.0,1,0,0,0,0
2019/04/05/16:38:50.296726,0,2.07999992371,-0.2,0.0,1,0,0,0,0
2019/04/05/16:38:50.306752,0,2.07999992371,-2.6645352591e-15,0.0,1,0,0,0,0
2019/04/05/16:38:50.316684,0,2.07999992371,-2.6645352591e-15,0.0,1,0,0,0,0
2019/04/05/16:38:50.326737,0,2.07999992371,-0.5,0.0,1,0,0,0,0
2019/04/05/16:38:50.336686,0,2.07999992371,-0.5,0.0,1,0,0,0,0
2019/04/05/16:38:50.346692,0,2.07999992371,-0.5,0.0,1,0,0,0,0
2019/04/05/16:38:50.356725,0,2.07999992371,-0.2,0.0,1,0,0,0,0
2019/04/05/16:38:50.366723,0,2.07999992371,-2.6645352591e-15,0.0,1,0,0,0,0
2019/04/05/16:38:50.376546,0,2.07999992371,-2.6645352591e-15,0.0,1,0,0,0,0
2019/04/05/16:38:50.386676,0,2.07999992371,-2.6645352591e-15,0.0,1,0,0,0,0
2019/04/05/16:38:50.396668,0,2.07999992371,-2.6645352591e-15,0.0,1,0,0,0,0
2019/04/05/16:38:50.406756,0,2.07999992371,-2.6645352591e-15,0.0,1,0,0,0,0
2019/04/05/16:38:50.416738,0,2.07999992371,-0.2,0.0,1,0,0,0,0
2019/04/05/16:38:50.426615,0,2.07999992371,-0.2,0.0,1,0,0,0,0
2019/04/05/16:38:50.436714,0,2.07999992371,-2.6645352591e-15,0.0,1,0,0,0,0
2019/04/05/16:38:50.446685,0,2.07999992371,-0.4,0.0,1,0,0,0,0
2019/04/05/16:38:50.456756,0,2.07999992371,-0.4,0.0,1,0,0,0,0
2019/04/05/16:38:50.466737,0,2.07999992371,-0.4,0.0,1,0,0,0,0
2019/04/05/16:38:50.476663,0,2.07999992371,-0.4,0.0,1,0,0,0,0
2019/04/05/16:38:50.486680,0,2.07999992371,-2.6645352591e-15,0.0,1,0,0,0,0
2019/04/05/16:38:50.496733,0,2.07999992371,-0.2,0.0,1,0,0,0,0
2019/04/05/16:38:50.506726,0,2.07999992371,-0.2,0.0,1,0,0,0,0
2019/04/05/16:38:50.516759,0,2.07999992371,-2.6645352591e-15,0.0,1,0,0,0,0
2019/04/05/16:38:50.526749,0,2.07999992371,-2.6645352591e-15,0.0,1,0,0,0,0
2019/04/05/16:38:50.536704,0,2.07999992371,-2.6645352591e-15,0.0,1,0,0,0,0
2019/04/05/16:38:50.546839,0,2.07999992371,-0.5,0.0,1,0,0,0,0
